trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-141.65281626675696,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-103.69560529777146,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-105.28145085968657,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-161.12665922521137,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,5,-83.77250389371774,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,10,-112.15353656461696,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-41.15231491920901,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-80.76440643193152,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-80.8747818256162,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-50.42422431534334,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-5.331687493582912,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,4,-103.66801745891581,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-59.84719865014908,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-67.87347015980133,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,7.102967219157489,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,-8.416973852713667,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,17.225959339331673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,5.103193115730611,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,33.74451192584834,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,17,15.64477228950866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,28.981967875908037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,2.6839609091345364,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-45.68602959846905,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,5,19.009414432015,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,12,21.388764004447804,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,30.16524749625475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,9,30.09786759428339,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,35.304935451960304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,30.75736369349765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,26.964567457985098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
