trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99}",20,0,-213.10707011074376,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.25, 'e': 0.9801}",20,0,-77.03964523145137,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.970299}",25,0,-207.85389490607722,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.25, 'e': 0.96059601}",20,0,-73.18201471414747,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.9509900498999999}",20,0,-170.7532726389318,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.25, 'e': 0.941480149401}",20,0,-124.82121158315852,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.9320653479069899}",25,0,-90.14743056843142,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.25, 'e': 0.9227446944279201}",25,0,-36.4843053720775,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.9135172474836408}",20,0,-152.19344546653548,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.25, 'e': 0.9043820750088044}",30,0,-91.2368547461425,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.25, 'e': 0.8953382542587164}",35,0,-188.7044423476109,"{0: 12, 1: 12, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.8863848717161292}",30,0,-139.7418680033239,"{0: 14, 1: 7, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.25, 'e': 0.8775210229989678}",20,2,-112.8595335804858,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
14,False,"{'a': 0.25, 'e': 0.8687458127689782}",20,1,-97.42351124956109,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.25, 'e': 0.8600583546412884}",25,0,-43.37115869976481,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.8514577710948755}",25,6,-59.37216091082392,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.25, 'e': 0.8429431933839268}",20,0,-98.67297879313533,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
