trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.99830000667124,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.34006329231855,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.82509091627036,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.17482542336174,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.2836609614231,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.18850689147558,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.83655299819156,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.31606627830216,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.505146041373,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.71612290234825,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.32855087884568,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.67882266098341,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.62394745210847,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.28442148710253,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.02802785384011,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.53991371272133,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.29710439829485,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.27913071299852,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.71684681271606,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.7362606628878,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.56413360674136,"{0: 13, 1: 4, 2: 1, 3: 5, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.78513472874592,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.8398126240771,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.46891865088988,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-28.708926765297473,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.79146246460327,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-32.699240287093915,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-145.34757642294267,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,7,-57.39090276789101,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.1147759022798,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
